NUM_BODIES 
9

NUM_STEPS
365

NAMES
Sun
Mercury
Venus
Earth
Mars
Jupiter
Saturn
Uranus
Neptune

MASSES
1.989e+30
3.3011e+23
4.8675e+24
5.972e+24
6.4171e+23
1.89819e+27
5.6834e+26
8.6813e+25
1.02413e+26
 
RADII
695700000.0
2439700
6051800
6371000.0
3389500
71492000
54364000
24973000
24341000

TRAJECTORIES
36, 0, 0, 63352507849.64433, -25487620682.050346, -56516739738.97267, -91736980300.6731, -118407463094.77931, -88042655702.81796, -191788706978.4381, -80449056652.3496, -739348906689.0049, -42652190411.77823, -1352198635200.7664, -31661130092.891262, -2741214438943.2505, -22114713916.838707, -4444417449938.009, -17107158237.001682
37, 0, 0, 64833435306.8213, -22385236179.193333, -53914532870.74445, -93305932630.68437, -116851721159.18, -90137890792.91318, -190966801484.98672, -82570907019.00989, -739282963434.0377, -43835671367.659065, -1352178844873.294, -32540447201.36012, -2741209619561.7397, -22728998205.771286, -4444415616487.889, -17582354659.185154
38, 0, 0, 66115015849.45752, -19213999736.935448, -51269578670.62964, -94800905594.00954, -115259905027.73187, -92205298806.29146, -190123855126.7771, -84683659711.49716, -739215215858.2324, -45019045336.615524, -1352158512462.1282, -33419751264.47948, -2741204668145.697, -23343281399.92708, -4444413732806.529, -18057550882.65106
39, 0, 0, 67195611571.89641, -15984335286.381935, -48583990022.53572, -96220743055.18677, -113632524488.03812, -94244256192.8141, -189259984079.5554, -86787092324.36212, -739145664151.5265, -46202309431.95989, -1352137637976.7595, -34299041929.77258, -2741199584695.39, -23957563469.718464, -4444411798893.954, -18532746902.028687
40, 0, 0, 68073883490.07419, -12706527334.752445, -45859910596.6229, -97564349764.83243, -111970100180.05872, -96254149160.21909, -188375307152.89584, -88880984242.24786, -739074308508.9104, -47385460767.39225, -1352116221426.9314, -35178318844.77067, -2741194369211.096, -24571844385.55789, -4444409814750.185, -19007942711.947323
41, 0, 0, 68748771076.3743, -9390744329.87218, -43099513065.03082, -98830692151.01341, -110273163394.78084, -98234373864.77736, -187469945756.10522, -90965116675.88689, -739001149130.4266, -48568496457.01062, -1352094262822.6401, -36057581657.01322, -2741189021693.098, -25186124117.857887, -4444407780375.244, -19483138307.036263
42, 0, 0, 69219476018.92021, -6047062455.8001175, -40304997298.99647, -100018799056.73874, -108542255869.51225, -100184336597.30434, -186544023863.55435, -93039272697.31659, -738926186221.1686, -49751413615.32116, -1352071762174.1353, -36936830014.048164, -2741183542141.6865, -25800402637.031055, -4444405695769.157, -19958333681.9248
43, 0, 0, 69485449978.30507, -2685489724.4579067, -37478588549.07302, -101127762423.24431, -106777929579.92104, -102103453964.46758, -185597667979.45792, -95103237274.30356, -738849419991.2798, -50934209357.24829, -1352048719491.9192, -37816063563.43207, -2741177930557.1587, -26414679913.49008, -4444403560931.947, -20433528831.242233
44, 0, 0, 69546386168.98639, 684009739.4560213, -34622535610.15718, -102156737918.80295, -104980746528.9454, -103991153065.33546, -184631007102.12347, -97156797303.9671, -738770850655.9526, -52116880798.14489, -1352025134786.7473, -38695281952.73037, -2741172186939.82, -27028955917.647736, -4444401375863.64, -20908723749.61786
45, 0, 0, 69402214645.75818, 4051491300.1897655, -31739108973.028156, -103104945512.84952, -103151278532.6986, -105846871663.11569, -183644172687.6909, -99199741645.59335, -738690478435.4274, -53299425053.80242, -1352001008069.6277, -39574484829.51757, -2741166311289.9814, -27643230619.91687, -4444399140564.261, -21383918431.680984
